"id","domain","online_date","active","created_at","updated_at","clients_id"
1,"jacobs.com","1990-10-10",1,"2015-01-29 03:32:22",NULL,9
2,"douglas.com","1979-03-24",0,"2015-01-29 03:32:22",NULL,4
3,"jacobslabadie.com","1972-08-27",0,"2015-01-29 03:32:22",NULL,4
4,"fritsch.com","1992-07-17",0,"2015-01-29 03:32:22",NULL,10
5,"halvorson.info","1983-11-06",0,"2015-01-29 03:32:22",NULL,2
6,"eichmann.com","1981-07-28",0,"2015-01-29 03:32:22",NULL,7
7,"considine.biz","1996-11-17",1,"2015-01-29 03:32:22",NULL,5
8,"bailey.com","1992-07-13",0,"2015-01-29 03:32:22",NULL,4
9,"konopelski.com","1990-04-22",0,"2015-01-29 03:32:22",NULL,3
10,"hansenvon.net","1982-03-18",0,"2015-01-29 03:32:22",NULL,1
11,"fritsch.org","1976-02-05",0,"2015-01-29 03:32:22",NULL,2
12,"casper.com","2014-06-17",1,"2015-01-29 03:32:22",NULL,2
13,"veum.com","1997-07-27",0,"2015-01-29 03:32:22",NULL,7
14,"gerlach.com","2009-09-25",0,"2015-01-29 03:32:22",NULL,8
15,"walkerwaelchi.com","2013-04-07",0,"2015-01-29 03:32:22",NULL,2
16,"bruen.com","2009-09-16",0,"2015-01-29 03:32:22",NULL,3
17,"mitchell.biz","1974-11-20",1,"2015-01-29 03:32:22",NULL,2
18,"cormierbuckridge.com","1995-04-13",1,"2015-01-29 03:32:22",NULL,9
19,"quigley.com","1973-03-22",1,"2015-01-29 03:32:22",NULL,6
20,"mertz.com","1983-11-27",0,"2015-01-29 03:32:22",NULL,9
21,"lebsack.info","2014-04-26",1,"2015-01-29 03:32:22",NULL,2
22,"hackett.com","2013-12-21",1,"2015-01-29 03:32:22",NULL,5
23,"schiller.biz","2004-05-18",1,"2015-01-29 03:32:22",NULL,8
24,"prosacco.net","1972-07-12",0,"2015-01-29 03:32:22",NULL,2
25,"lang.info","1991-08-09",0,"2015-01-29 03:32:22",NULL,9
26,"brekke.com","1998-02-17",1,"2015-01-29 03:32:22",NULL,6
27,"mohr.biz","1972-10-30",0,"2015-01-29 03:32:22",NULL,1
28,"runtejast.com","2012-03-09",1,"2015-01-29 03:32:22",NULL,4
29,"legros.com","2011-11-25",1,"2015-01-29 03:32:22",NULL,10
30,"mante.com","2010-07-07",1,"2015-01-29 03:32:22",NULL,8
31,"deckow.com","1994-03-09",0,"2015-01-29 03:32:22",NULL,10
32,"walsh.com","2002-09-18",1,"2015-01-29 03:32:22",NULL,6
33,"jones.com","2003-09-30",0,"2015-01-29 03:32:22",NULL,5
34,"hickle.com","1989-12-16",0,"2015-01-29 03:32:22",NULL,4
35,"prosacco.biz","1975-08-26",1,"2015-01-29 03:32:22",NULL,5
36,"johnszieme.com","2002-01-23",1,"2015-01-29 03:32:22",NULL,9
37,"swaniawski.net","1972-09-04",1,"2015-01-29 03:32:22",NULL,4
38,"haagbayer.org","2009-12-11",0,"2015-01-29 03:32:22",NULL,1
39,"pfannerstill.org","2001-02-19",1,"2015-01-29 03:32:22",NULL,3
40,"starkdoyle.com","1974-10-04",0,"2015-01-29 03:32:22",NULL,9
